mcq_4_choices/prompt_length_p99,mcq_16_choices/prompt_length_std,mcq_8_choices/prompt_length_p99,mcq_16_choices/prompt_length_mean,mcq_4_choices/prompt_length_std,mcq_4_choices/prompt_length_min,mcq_8_choices/prompt_length_std,mcq_16_choices/prompt_length_dist,mcq_4_choices/prompt_length_plot,mcq_8_choices/prompt_length_dist,mcq_8_choices/prompt_length_min,mcq_8_choices/prompt_length_mean,mcq_8_choices/prompt_length_max,mcq_16_choices/prompt_length_median,mcq_16_choices/prompt_length_plot,mcq_4_choices/prompt_length_max,mcq_32_choices/prompt_length_p99,mcq_32_choices/prompt_length_dist,mcq_16_choices/prompt_length_max,_runtime,mcq_4_choices/prompt_length_mean,mcq_32_choices/prompt_length_min,mcq_32_choices/prompt_length_plot,mcq_4_choices/prompt_length_dist,mcq_8_choices/prompt_length_plot,mcq_16_choices/prompt_length_min,mcq_16_choices/prompt_length_p99,_timestamp,mcq_32_choices/prompt_length_max,mcq_16_choices/prompt_length_p95,dataset_stats_summary,mcq_4_choices/prompt_length_median,mcq_32_choices/prompt_length_mean,mcq_32_choices/prompt_length_median,mcq_32_choices/prompt_length_p95,mcq_8_choices/prompt_length_median,_step,mcq_8_choices/prompt_length_p95,mcq_32_choices/prompt_length_std,mcq_4_choices/prompt_length_p95
1408.220000000002,,,,183.11662164356116,301.0,,,,,,,,,,2189.0,,,,3.089463173,485.35045317220545,,,,,,,1765822507.2112415,,,,436.0,,,,,0,,,729.3
,,,,,,,,,,,,,,,,,,,3.089820763,,,,"{'values': [10, 90, 254, 291, 279, 202, 135, 81, 63, 45, 35, 40, 19, 22, 13, 3, 6, 9, 4, 1, 3, 1, 0, 3, 7, 3, 2, 1, 2, 3, 1, 1, 1, 3, 4, 0, 1, 0, 3, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1], 'packedBins': {'min': 301, 'size': 29.5, 'count': 64}, '_type': 'histogram'}",,,,1765822507.2119074,,,,,,,,,1,,,
,,,,,,,,"{'sha256': 'd3f9bdff1b9c4e227246e8a6cd260f79ae9cfacadea11ebacf48739a1c8e8e83', 'size': 36169, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/mcq_4_choices/prompt_length_plot_2_d3f9bdff1b9c4e227246.png'}",,,,,,,,,,,3.574249238,,,,,,,,1765822507.696356,,,,,,,,,2,,,
,,1467.8999999999994,,,,174.12933227867822,,,,340.0,501.5946684894053,2222.0,,,,,,,4.855197379,,,,,,,,1765822508.9771972,,,,,,,,460.0,3,718.0,,
,,,,,,,,,"{'_type': 'histogram', 'values': [26, 163, 265, 253, 221, 154, 89, 75, 46, 34, 24, 28, 14, 15, 12, 3, 5, 3, 1, 1, 0, 0, 0, 0, 3, 2, 1, 0, 2, 1, 1, 0, 1, 2, 1, 0, 1, 0, 2, 0, 1, 1, 2, 0, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1], 'packedBins': {'size': 29.40625, 'count': 64, 'min': 340}}",,,,,,,,,,4.855661877,,,,,,,,1765822508.977738,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,4.972543765,,,,,"{'size': 35679, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/mcq_8_choices/prompt_length_plot_5_153f868eb7bc6a992741.png', 'sha256': '153f868eb7bc6a99274125aceed6a411e455835f0c6dacf5dff7fa2e179320ef'}",,,1765822509.094656,,,,,,,,,5,,,
,159.41732178459554,,564.1614785992218,,,,,,,,,,531.0,,,,,2272.0,6.103750994,,,,,,391.0,1212.070000000001,1765822510.2257502,,755.65,,,,,,,6,,,
,,,,,,,"{'packedBins': {'min': 391, 'size': 29.390625, 'count': 64}, '_type': 'histogram', 'values': [14, 46, 137, 189, 168, 138, 106, 46, 53, 31, 24, 21, 12, 9, 10, 3, 3, 0, 3, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1]}",,,,,,,,,,,,6.104200197,,,,,,,,1765822510.2262764,,,,,,,,,7,,,
,,,,,,,,,,,,,,"{'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/mcq_16_choices/prompt_length_plot_8_418670e4b70a4696a93f.png', 'sha256': '418670e4b70a4696a93f01b3cc3dce84399e51916830e02bada025aa3ed6061d', 'size': 32716}",,,,,6.217365937,,,,,,,,1765822510.3394685,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,949.6099999999999,,,7.36716127,,553.0,,,,,,1765822511.4891622,1161.0,,,,702.0036363636364,678.0,858.55,,9,,77.2602684287723,
,,,,,,,,,,,,,,,,,"{'values': [1, 1, 1, 2, 4, 1, 8, 23, 40, 50, 45, 33, 57, 35, 38, 28, 17, 7, 14, 8, 21, 14, 16, 16, 9, 6, 5, 2, 5, 4, 6, 4, 9, 0, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'size': 9.5, 'count': 64, 'min': 553}, '_type': 'histogram'}",,7.367587786,,,,,,,,1765822511.4896445,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,7.474979003,,,"{'path': 'media/images/mcq_32_choices/prompt_length_plot_11_159369344c8d0cc092a1.png', 'sha256': '159369344c8d0cc092a185079665c1187ac9d286c715c713a9286a0585c97349', 'size': 33155, 'height': 600, 'width': 1000, '_type': 'image-file', 'format': 'png'}",,,,,1765822511.5970714,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,8.415797336,,,,,,,,1765822512.5378976,,,"{'nrows': 4, 'path': 'media/table/dataset_stats_summary_12_21c539d0b5a4e4bbb6f9.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://a73kzmbsc8fss6fgp4es066e1bf3h3t2q2tr07fe7ol1fyz9984h5hmb2gz9lhenc3c5cgfggd33s50i7qnc147q492v84wfixlsbix7aseqvt38debqotj2jmdzsakm/dataset_stats_summary.table.json', '_latest_artifact_path': 'wandb-client-artifact://fv74jubyc8searzmrq5ewz2sgsuetol9pg6v53wt8jeuazlim5etmbio4e2yk7795pczfv3b0rxzzmbbqqli08l4t6s8g8p2buwbbdt4hdxdtr6qow56u9g9xcxnyyc3:latest/dataset_stats_summary.table.json', 'size': 454, 'ncols': 9, 'sha256': '21c539d0b5a4e4bbb6f960a16f57bf6da3c1ea47afa823c8ea61fe56fdeaabe9'}",,,,,,12,,,
