train/mean_token_accuracy,_runtime,train/loss,train/grad_norm,train/global_step,train/learning_rate,_timestamp,train/num_tokens,_step,train/epoch
0.6603538990020752,21.294714661,1.6777,0.37960416078567505,1,0.0,1763936793.410514,10475.0,0,0.015873015873015872
0.6524896025657654,29.101269241,1.8335,0.49898988008499146,2,0.0001,1763936801.2172403,18207.0,1,0.031746031746031744
0.6947423219680786,35.401854783,1.589,0.6316894888877869,3,0.0002,1763936807.5178256,27832.0,2,0.047619047619047616
0.6666666865348816,42.466499422,1.674,1.1857887506484985,4,0.00019988066808963474,1763936814.5824656,35622.0,3,0.06349206349206349
0.686967134475708,48.49908277,1.4252,0.5834116339683533,5,0.000199522988805313,1763936820.6150317,43852.0,4,0.07936507936507936
0.6992417573928833,54.589145679,1.3574,0.4382367432117462,6,0.00019892791064819693,1763936826.7051294,53368.0,5,0.09523809523809523
0.7143867015838623,62.006330938,1.2549,0.7450205683708191,7,0.00019809701165858222,1763936834.1222973,61875.0,6,0.1111111111111111
0.6948109269142151,69.54260812,1.3507,0.6282235383987427,8,0.00019703249523121886,1763936841.658572,70991.0,7,0.12698412698412698
0.7285444736480713,76.803338336,1.0536,0.49045225977897644,9,0.00019573718427230442,1763936848.9193103,83735.0,8,0.14285714285714285
0.7080109715461731,84.342925208,1.2048,0.5627872347831726,10,0.00019421451371364444,1763936856.4588885,91769.0,9,0.15873015873015872
0.7109023928642273,90.338038796,1.1552,0.36849772930145264,11,0.00019246852140383043,1763936862.453988,101796.0,10,0.1746031746031746
0.7214111685752869,96.666552521,1.1255,0.4223579466342926,12,0.00019050383740059162,1763936868.7825077,109214.0,11,0.19047619047619047
0.7305880784988403,102.565815755,1.0513,0.39019548892974854,13,0.000188325671692714,1763936874.6818726,117515.0,12,0.20634920634920634
0.7320787310600281,108.313615295,1.005,0.35382553935050964,14,0.0001859398003840867,1763936880.4296298,126728.0,13,0.2222222222222222
0.6956756114959717,114.403168012,1.2008,0.39643895626068115,15,0.00018335255037651302,1763936886.519149,136021.0,14,0.23809523809523808
0.7406703233718872,121.874615892,0.9888,0.36101287603378296,16,0.00018057078259190397,1763936893.9905849,144455.0,15,0.25396825396825395
0.7032623291015625,127.603072982,1.1029,0.33734405040740967,17,0.0001776018737783468,1763936899.7190304,152782.0,16,0.2698412698412698
0.71727454662323,133.321918317,1.0764,0.3085475265979767,18,0.0001744536969482954,1763936905.4379408,159876.0,17,0.2857142857142857
0.7364092469215393,139.594980543,0.9704,0.43208715319633484,19,0.00017113460050075638,1763936911.7109668,169259.0,18,0.30158730158730157
0.7248780727386475,145.18945196,1.0451,0.27612385153770447,20,0.0001676533860828358,1763936917.305467,176454.0,19,0.31746031746031744
0.7467067241668701,151.90097113,0.8945,0.3047197461128235,21,0.00016401928524935314,1763936924.0169437,185128.0,20,0.3333333333333333
0.7441860437393188,159.183385658,0.9288,0.3446381092071533,22,0.0001602419349824178,1763936931.2993722,195683.0,21,0.3492063492063492
0.749178409576416,164.906376124,0.9327,0.2306562066078186,23,0.0001563313521358848,1763936937.0223446,205136.0,22,0.36507936507936506
0.7494297623634338,172.096603421,0.9245,0.24354740977287292,24,0.00015229790687245882,1763936944.2126188,214363.0,23,0.38095238095238093
0.72540283203125,178.61597091,0.9813,0.26029273867607117,25,0.0001481522951638875,1763936950.731975,224933.0,24,0.3968253968253968
0.7486636638641357,186.204575656,0.9114,0.28311747312545776,26,0.00014390551042716668,1763936958.3205745,234307.0,25,0.4126984126984127
0.7780282497406006,191.623336073,0.7873,0.26001840829849243,27,0.00013956881437197514,1763936963.7392948,240981.0,26,0.42857142857142855
0.736851692199707,198.211998526,0.9387,0.2160416543483734,28,0.00013515370713664487,1763936970.3280184,251972.0,27,0.4444444444444444
0.7411472797393799,205.965747646,0.9646,0.2466452419757843,29,0.00013067189679186162,1763936978.081736,260464.0,28,0.4603174603174603
0.7507393956184387,214.051481272,0.8793,0.2010503113269806,30,0.00012613526829296622,1763936986.1674657,271304.0,29,0.47619047619047616
0.7377147078514099,219.409308545,0.9578,0.2652352750301361,31,0.0001215558519631896,1763936991.5252762,278019.0,30,0.49206349206349204
0.7217915654182434,225.119358815,1.0388,0.24344632029533386,32,0.0001169457915913982,1763936997.23536,286166.0,31,0.5079365079365079
0.7290380597114563,231.748392249,0.9786,0.4348067343235016,33,0.000112317312228949,1763937003.864409,292829.0,32,0.5238095238095238
0.7144910097122192,238.023817252,1.031,0.23339131474494934,34,0.00010768268777105104,1763937010.1398041,301199.0,33,0.5396825396825397
0.731515645980835,244.061739093,0.9628,0.24218258261680603,35,0.00010305420840860182,1763937016.1777592,309618.0,34,0.5555555555555556
0.7716294527053833,251.605979319,0.8131,0.250356525182724,36,9.844414803681041e-05,1763937023.721932,318457.0,35,0.5714285714285714
0.7255553603172302,257.793324548,0.9606,0.19793620705604553,37,9.386473170703382e-05,1763937029.9093375,329011.0,36,0.5873015873015873
0.7634604573249817,263.984185173,0.8188,0.21312682330608368,38,8.932810320813843e-05,1763937036.1002011,337816.0,37,0.6031746031746031
0.8097094297409058,281.921778865,0.6917,0.13406512141227722,39,8.484629286335517e-05,1763937054.037743,351430.0,38,0.6190476190476191
0.7462259531021118,288.39846741,0.8686,0.2251514345407486,40,8.043118562802488e-05,1763937060.5144496,361585.0,39,0.6349206349206349
0.7527914047241211,294.701094408,0.8599,0.2145165055990219,41,7.609448957283334e-05,1763937066.8171005,371188.0,40,0.6507936507936508
0.8434953689575195,312.612954875,0.556,0.18676315248012543,42,7.184770483611256e-05,1763937084.729009,382376.0,41,0.6666666666666666
0.759441077709198,319.049593959,0.8358,0.19693952798843384,43,6.770209312754124e-05,1763937091.1655686,393703.0,42,0.6825396825396826
0.7425156235694885,325.661750963,0.9225,0.2507787048816681,44,6.366864786411526e-05,1763937097.77773,402508.0,43,0.6984126984126984
0.7325357794761658,331.728214739,0.956,0.26838377118110657,45,5.9758065017582185e-05,1763937103.8441727,409801.0,44,0.7142857142857143
0.7113997340202332,337.165383312,1.0586,0.27717795968055725,46,5.598071475064688e-05,1763937109.281394,417444.0,45,0.7301587301587301
0.7602797150611877,344.369485842,0.8344,0.16855712234973907,47,5.2346613917164246e-05,1763937116.4854918,429332.0,46,0.746031746031746
0.7760025262832642,350.288933603,0.759,0.1964721977710724,48,4.886539949924362e-05,1763937122.4049063,438928.0,47,0.7619047619047619
0.7251611351966858,356.037656308,0.9637,0.22191688418388367,49,4.554630305170462e-05,1763937128.153674,447946.0,48,0.7777777777777778
0.7455690503120422,362.896133863,0.8825,0.18863673508167267,50,4.2398126221653236e-05,1763937135.0121918,459081.0,49,0.7936507936507936
0.7774172425270081,369.396401539,0.7945,0.18620692193508148,51,3.9429217408096075e-05,1763937141.5123384,468347.0,50,0.8095238095238095
0.738669216632843,376.00253032,0.9281,0.21621739864349365,52,3.664744962348699e-05,1763937148.11853,476663.0,51,0.8253968253968254
0.7167799472808838,382.604196022,1.0297,0.31500503420829773,53,3.40601996159133e-05,1763937154.7202368,484186.0,52,0.8412698412698413
0.7648528814315796,389.471324765,0.8297,0.19330494105815887,54,3.167432830728603e-05,1763937161.5873015,495012.0,53,0.8571428571428571
0.7411922812461853,397.458556897,0.8725,0.23016680777072906,55,2.949616259940842e-05,1763937169.574532,503973.0,54,0.873015873015873
0.7301660180091858,403.019882742,0.9718,0.22733426094055176,56,2.7531478596169587e-05,1763937175.1359355,512728.0,55,0.8888888888888888
0.7182904481887817,409.624998147,1.0222,0.21232205629348755,57,2.5785486286355586e-05,1763937181.7409904,523628.0,56,0.9047619047619048
0.7261765003204346,415.276398377,0.9629,0.27419543266296387,58,2.4262815727695575e-05,1763937187.3924031,530448.0,57,0.9206349206349206
0.7604032754898071,421.318378367,0.8127,0.1914207935333252,59,2.2967504768781168e-05,1763937193.4343367,539792.0,58,0.9365079365079365
0.7520400285720825,426.940249608,0.8812,0.21422025561332703,60,2.19029883414178e-05,1763937199.0562553,547410.0,59,0.9523809523809523
0.7764337658882141,432.685474397,0.7527,0.21415753662586212,61,2.1072089351803067e-05,1763937204.8015327,556689.0,60,0.9682539682539683
0.7387694716453552,438.96730323,0.9368,0.2109406292438507,62,2.0477011194686986e-05,1763937211.0832796,565502.0,61,0.9841269841269841
0.7303005456924438,445.78947906,0.9234,0.20604945719242096,63,2.0119331910365256e-05,1763937217.9054694,574139.0,62,1.0
,468.023721334,,,63,,1763937240.1399548,,63,1.0
